"","Member","Constituency","Party","Vote386","Vote387","Vote388","Vote389","Vote390","Vote391","Vote392","Vote393","Percentage"
"106","Damian Collins","Folkestone and Hythe","Con","No","Aye","Aye","No","No","No","No","No",0.616
"109","Yvette Cooper","Normanton, Pontefract and Castleford","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.693
"115","Neil Coyle","Bermondsey and Old Southwark","Lab","No","No","No","Aye","Aye","Aye","Aye","No",0.261
"121","Tracey Crouch","Chatham and Aylesford","Con","Aye","No","No","No","No","No","No","No Vote",0.639
"123","John Cryer","Leyton and Wanstead","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.348
"127","Janet Daby","Lewisham East","Lab","No","No Vote","No","Aye","Aye","Aye","Aye","No",0.354
"129","Edward Davey","Kingston and Surbiton","LD","No","No Vote","No Vote","No Vote","No Vote","Aye","Aye","No",0.408
"130","Wayne David","Caerphilly","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.551
"131","Chris Davies","Brecon and Radnorshire","Con","Aye","No","Aye","No","No","No","No","Aye",0.519
"132","David T. C. Davies","Monmouth","Con","Aye","No","No","No","No","No","No","Aye",0.481
"133","Geraint Davies","Swansea West","Lab","No","No Vote","No","Aye","Aye","Aye","Aye","No",0.434
"135","Mims Davies","Eastleigh","Con","Aye","No","No","No","No","No","No","No",0.543
"138","Martyn Day","Linlithgow and East Falkirk","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.42
"139","Marsha De Cordova","Battersea","Lab","No","No Vote","No","Aye","Aye","Aye","Aye","No",0.22
"142","Emma Dent Coad","Kensington","Lab","No","No","No","Aye","Aye","Aye","Aye","No",0.312
"143","Tanmanjeet Singh Dhesi","Slough","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.541
"151","Michelle Donelan","Chippenham","Con","No Vote","No","No","No","No","No","No","Aye",0.516
"152","Nadine Dorries","Mid Bedfordshire","Con","Aye","No","No","No","No","No","No","Aye",0.529
"154","Stephen Doughty","Cardiff South and Penarth","Lab","No","No Vote","No","Aye","Aye","Aye","Aye","No",0.428
"163","David Duguid","Banff and Buchan","Con","No","No","Aye","No","No","No","No","No",0.536
"176","Bill Esterson","Sefton Central","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.441
"177","George Eustice","Camborne and Redruth","Con","Aye","Aye","Aye","No","No","No","No","Aye",0.584
"178","Chris Evans","Islwyn","Lab","No","Aye","No Vote","Aye","Aye","No Vote","No Vote","No",0.589
"179","Nigel Evans","Ribble Valley","Con","Aye","No","No","No","No","No","No","Aye",0.587
"180","David Evennett","Bexleyheath and Crayford","Con","No Vote","No","No","No","No","No","No","No",0.653
"182","Michael Fallon","Sevenoaks","Con","No","No Vote","Aye","No","No","No","No","Aye",0.54
"189","Colleen Fletcher","Coventry North East","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.578
"197","Lucy Frazer","South East Cambridgeshire","Con","No","No","No","No Vote","No","No","No","No Vote",0.453
"205","Mike Gapes","Ilford South","Ind","No","No","No","No","No","Aye","Aye","No",0.433
"206","Barry Gardiner","Brent North","Lab","No","No Vote","No Vote","Aye","Aye","No Vote","Aye","No",0.426
"207","Mark Garnier","Wyre Forest","Con","No Vote","No","Aye","No","No","No","No Vote","Aye",0.631
"209","Ruth George","High Peak","Lab","No","No Vote","No","Aye","Aye","Aye","Aye","No",0.505
"210","Stephen Gethins","North East Fife","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.363
"211","Nusrat Ghani","Wealden","Con","Aye","No","No","No","No","No","No","No",0.528
"212","Nick Gibb","Bognor Regis and Littlehampton","Con","No Vote","No Vote","No Vote","No","No","No","No","No",0.648
"215","Cheryl Gillan","Chesham and Amersham","Con","No","No","No","No","No","No","No","No",0.45
"216","Paul Girvan","South Antrim","DUP","No Vote","No Vote","No Vote","No","No","No","No","Aye",0.412
"219","Roger Godsiff","Birmingham, Hall Green","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.336
"224","Patrick Grady","Glasgow North","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No Vote",0.216
"226","Richard Graham","Gloucester","Con","No","No Vote","No Vote","No Vote","No","No","No","No",0.588
"228","Helen Grant","Maidstone and The Weald","Con","No","No","No","No","No","No","No","No",0.559
"229","Peter Grant","Glenrothes","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.476
"230","James Gray","North Wiltshire","Con","Aye","No","No","No","No","No","No","Aye",0.503
"238","Margaret Greenwood","Wirral West","Lab","No","No Vote","No Vote","Aye","Aye","No Vote","Aye","No",0.447
"240","Nia Griffith","Llanelli","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.567
"241","Andrew Griffiths","Burton","Con","Aye","No","No","No","No","No","No","No",0.648
"242","John Grogan","Keighley","Lab","No","Aye","No Vote","Aye","Aye","Aye","Aye","No",0.533
"245","Louise Haigh","Sheffield, Heeley","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.572
"247","Robert Halfon","Harlow","Con","No","Aye","Aye","No","No","No","No","No Vote",0.677
"249","Fabian Hamilton","Leeds North East","Lab","No","No Vote","No","Aye","Aye","Aye","Aye","No",0.374
"258","Richard Harrington","Watford","Con","No","Aye","No Vote","Aye","No","Aye","No Vote","No",0.512
"261","Trudy Harrison","Copeland","Con","Aye","No","Aye","No","No","No","No","No",0.592
"264","John Hayes","South Holland and The Deepings","Con","Aye","No","No","No","No","No","No","Aye",0.711
"268","James Heappey","Wells","Con","No Vote","No","No","No","No","No","No","No Vote",0.536
"270","Peter Heaton-Jones","North Devon","Con","No Vote","No","No","No","No","No","No","No",0.57
"275","Nick Herbert","Arundel and South Downs","Con","No","Aye","Aye","Aye","No","No","No","No",0.497
"277","Mike Hill","Hartlepool","Lab","No","No Vote","No Vote","Aye","Aye","No Vote","No","No",0.696
"280","Simon Hoare","North Dorset","Con","No","Aye","Aye","Aye","No","No","No","No",0.566
"282","Margaret Hodge","Barking","Lab","No","No Vote","No","Aye","Aye","Aye","Aye","No",0.6
"283","Sharon Hodgson","Washington and Sunderland West","Lab","No","Aye","No","Aye","Aye","No Vote","Aye","No",0.619
"292","George Howarth","Knowsley","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.523
"293","John Howell","Henley","Con","No","No","No","No","No","No","No Vote","No",0.431
"298","Nick Hurd","Ruislip, Northwood and Pinner","Con","No","No Vote","No Vote","No Vote","No","No","No Vote","No",0.495
"300","Alister Jack","Dumfries and Galloway","Con","No","No","No","No","No","No","No","Aye",0.451
"301","Margot James","Stourbridge","Con","No","Aye","No Vote","Aye","No","No Vote","No Vote","No",0.637
"308","Robert Jenrick","Newark","Con","Aye","No","No","No","No","No","No","No",0.557
"309","Boris Johnson","Uxbridge and South Ruislip","Con","Aye","No","No","No","No","No","No","Aye",0.572
"311","Caroline Johnson","Sleaford and North Hykeham","Con","Aye","No","No","No","No","No","No","Aye",0.616
"314","Andrew Jones","Harrogate and Knaresborough","Con","No","No","No","No","No","No","No","No",0.472
"318","Helen Jones","Warrington North","Lab","No","Aye","No","Aye","Aye","No","No","No",0.581
"320","Kevan Jones","North Durham","Lab","No","No","No","Aye","Aye","No Vote","No","No",0.603
"326","Gillian Keegan","Chichester","Con","No","No","No Vote","No","No","No","No","No",0.507
"329","Seema Kennedy","South Ribble","Con","No","No","No","No","No","No","No","No",0.566
"330","Stephen Kerr","Stirling","Con","No","No","Aye","No","No","No","No","No",0.323
"334","Julian Knight","Solihull","Con","No Vote","No","Aye","No","No","No","No","Aye",0.533
"338","Lesley Laird","Kirkcaldy and Cowdenbeath","Lab","No","Aye","No Vote","Aye","Aye","Aye","Aye","No",0.433
"342","Mark Lancaster","Milton Keynes North","Con","Aye","No","No","No","No","No","No","Aye",0.497
"343","Pauline Latham","Mid Derbyshire","Con","No Vote","No","No","No","No","No","No","Aye",0.525
"347","Phillip Lee","Bracknell","Con","No","No","No","No","No","Aye","Aye","No",0.532
"350","Edward Leigh","Gainsborough","Con","Aye","No","No","No","No","No","No","Aye",0.62
"351","Chris Leslie","Nottingham East","Ind","No","No","No","No","No","Aye","Aye","No",0.429
"353","Emma Lewell-Buck","South Shields","Lab","No","No Vote","No Vote","Aye","Aye","No Vote","No","No",0.621
"355","Brandon Lewis","Great Yarmouth","Con","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote",0.715
"361","David Linden","Glasgow East","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.438
"364","Tony Lloyd","Rochdale","Lab","No","Aye","No","Aye","Aye","No Vote","Aye","No",0.575
"366","Julia Lopez","Hornchurch and Upminster","Con","Aye","No","No","No","No","No","No","Aye",0.695
"368","Jonathan Lord","Woking","Con","Aye","No","No","No","No","No","No","Aye",0.443
"369","Tim Loughton","East Worthing and Shoreham","Con","Aye","No","No","No","No","No","No","Aye",0.537
"375","Justin Madders","Ellesmere Port and Neston","Lab","No","Aye","No","Aye","Aye","No Vote","No","No",0.583
"378","Anne Main","St Albans","Con","Aye","No","No","No","No","No","No","Aye",0.378
"381","Kit Malthouse","North West Hampshire","Con","Aye","No","No","No","No","No","No","Aye",0.548
"383","Scott Mann","North Cornwall","Con","Aye","No","Aye","No","No","No","No","Aye",0.602
"391","Steve McCabe","Birmingham, Selly Oak","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.469
"392","Kerry McCarthy","Bristol East","Lab","No","No","No","Aye","Aye","Aye","Aye","No",0.468
"393","Siobhain McDonagh","Mitcham and Morden","Lab","No","No","No","No","No","Aye","Aye","No",0.447
"394","Andy McDonald","Middlesbrough","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No Vote",0.661
"398","Pat McFadden","Wolverhampton South East","Lab","No","No Vote","No","Aye","Aye","No Vote","Aye","No",0.681
"402","Catherine McKinnell","Newcastle upon Tyne North","Lab","No","No Vote","No","Aye","Aye","Aye","Aye","No",0.568
"403","Patrick McLoughlin","Derbyshire Dales","Con","No","No","No","No","No","No","No","No",0.512
"404","Jim McMahon","Oldham West and Royton","Lab","No","Aye","No Vote","Aye","Aye","No Vote","No Vote","No",0.613
"405","Anna McMorrin","Cardiff North","Lab","No","No","No","No","Aye","Aye","Aye","No",0.391
"407","Stephen McPartland","Stevenage","Con","Aye","No","No","No","No","No","No","Aye",0.57
"408","Esther McVey","Tatton","Con","Aye","No","No","No","No","No","No","Aye",0.456
"410","Mark Menzies","Fylde","Con","Aye","No","No","No","No","No","No","No",0.567
"413","Stephen Metcalfe","South Basildon and East Thurrock","Con","Aye","No","No","No","No","No","No","Aye",0.73
"414","Edward Miliband","Doncaster North","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.717
"420","Carol Monaghan","Glasgow North West","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.315
"423","Layla Moran","Oxford West and Abingdon","LD","No","No Vote","No Vote","No Vote","No Vote","Aye","Aye","No",0.38
"425","Jessica Morden","Newport East","Lab","No","No Vote","No Vote","Aye","Aye","No Vote","Aye","No",0.593
"426","Nicky Morgan","Loughborough","Con","No","Aye","Aye","Aye","No","No","No","No",0.501
"427","Stephen Morgan","Portsmouth South","Lab","No","No","No","Aye","Aye","Aye","Aye","No",0.518
"437","Lisa Nandy","Wigan","Lab","No","Aye","No Vote","Aye","Aye","Aye","No Vote","No Vote",0.63
"438","Robert Neill","Bromley and Chislehurst","Con","No","Aye","Aye","Aye","No","No","No","No",0.498
"445","Matthew Offord","Hendon","Con","Aye","No","No","No","No","No","No","Aye",0.416
"447","Jared O'Mara","Sheffield, Hallam","Ind","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote",0.34
"451","Guy Opperman","Hexham","Con","No","No","No","No","No","No","No","No",0.453
"454","Ian Paisley","North Antrim","DUP","No Vote","No Vote","No Vote","No","No","No","No","Aye",0.622
"458","Mark Pawsey","Rugby","Con","No","Aye","Aye","Aye","No","No","No","No",0.586
"459","Stephanie Peacock","Barnsley East","Lab","No","Aye","No Vote","Aye","Aye","No Vote","No","No",0.71
"462","Matthew Pennycook","Greenwich and Woolwich","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.357
"465","Toby Perkins","Chesterfield","Lab","No","Aye","No","Aye","Aye","No","Aye","No",0.593
"467","Jess Phillips","Birmingham, Yardley","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.601
"468","Bridget Phillipson","Houghton and Sunderland South","Lab","No","No Vote","No","Aye","Aye","No Vote","Aye","No",0.624
"469","Chris Philp","Croydon South","Con","No Vote","No","No","No","No","No","No","Aye",0.458
"472","Jo Platt","Leigh","Lab","No","Aye","No Vote","Aye","Aye","No Vote","No Vote","No",0.633
"476","Rebecca Pow","Taunton Deane","Con","No","Aye","Aye","No","No","No","No","No",0.529
"478","Victoria Prentis","Banbury","Con","No","No Vote","No Vote","Aye","No","No","No","No",0.503
"484","Yasmin Qureshi","Bolton South East","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.63
"486","Faisal Rashid","Warrington South","Lab","No","Aye","No Vote","Aye","Aye","Aye","Aye","No",0.511
"493","Rachel Reeves","Leeds West","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.533
"496","Marie Rimmer","St Helens South and Whiston","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.561
"499","Mary Robinson","Cheadle","Con","No","No","No","No","No","No","No","No",0.427
"502","Andrew Rosindell","Romford","Con","Aye","No","No","No","No","No","No","Aye",0.693
"511","Antoinette Sandbach","Eddisbury","Con","No","Aye","Aye","Aye","No","No Vote","Aye","No",0.522
"522","Tommy Sheppard","Edinburgh East","SNP","No","No Vote","No","No Vote","No Vote","Aye","Aye","No",0.276
"523","Paula Sherriff","Dewsbury","Lab","No","Aye","No Vote","Aye","Aye","No Vote","No Vote","No",0.571
"525","Tulip Siddiq","Hampstead and Kilburn","Lab","No","No","No","Aye","Aye","Aye","Aye","No",0.237
"528","Chris Skidmore","Kingswood","Con","No","No","No","No","No","No","No","No",0.571
"535","Eleanor Smith","Wolverhampton South West","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.544
"537","Jeff Smith","Manchester, Withington","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.249
"543","Karin Smyth","Bristol South","Lab","No","Aye","No","Aye","Aye","Aye","Aye","No",0.471
"544","Gareth Snell","Stoke-on-Trent Central","Lab","No","No","No","Aye","Aye","No","No","No",0.648
"555","John Stevenson","Carlisle","Con","No Vote","Aye","Aye","No","No","No","No","No",0.606
"563","Graham Stringer","Blackley and Broughton","Lab","No Vote","No","No","No","No Vote","No","No","Aye",0.5
"565","Julian Sturdy","York Outer","Con","No Vote","No","Aye","No","No","No","No","Aye",0.447
"567","Desmond Swayne","New Forest West","Con","Aye","No","No","No","No","No","No","Aye",0.553
"569","Jo Swinson","East Dunbartonshire","LD","No","No Vote","No Vote","No Vote","No Vote","Aye","Aye","No",0.269
"578","Emily Thornberry","Islington South and Finsbury","Lab","No","Aye","No Vote","Aye","Aye","No Vote","Aye","No",0.283
"583","Michael Tomlinson","Mid Dorset and North Poole","Con","Aye","No","No","No","No","No","No","Aye",0.571
"588","Elizabeth Truss","South West Norfolk","Con","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote","No Vote",0.667
"593","Stephen Twigg","Liverpool, West Derby","Lab","No","Aye","No Vote","Aye","Aye","Aye","Aye","No",0.498
"597","Shailesh Vara","North West Cambridgeshire","Con","Aye","No","No","No","No","No","No","Aye",0.569
"601","Theresa Villiers","Chipping Barnet","Con","No Vote","No","No","No","No","No","No","Aye",0.411
"602","Charles Walker","Broxbourne","Con","No","No","No","No","No","No","No","No",0.655
"604","Thelma Walker","Colne Valley","Lab","No","No","No","Aye","Aye","Aye","Aye","No",0.501
"607","Matt Warman","Boston and Skegness","Con","Aye","No","No","No","No","No","No","No",0.756
"618","John Whittingdale","Maldon","Con","Aye","No","No","No","No","No","No","Aye",0.61
"621","Chris Williamson","Derby North","Ind","No Vote","No","No Vote","Aye","Aye","No","No","No",0.543
"624","Sammy Wilson","East Antrim","DUP","No Vote","No Vote","No Vote","No","No","No","No","Aye",0.552
"626","Sarah Wollaston","Totnes","Ind","No","No","No","No","No","Aye","Aye","No",0.539
